"","water_year","species","run","release_date","release_time","release_datetime","release_container_id","release_id","crew","morts","shed_tags","fish_released","comments","entered_by","qaqc_by","qaqc_comments"
"1","2026","Chinook Salmon","late-fall",2025-12-02,"21:00",2025-12-02 21:00:00,"RT-1","12/2/2025 RT-1","AL, CC",0,0,10,"","SB","BP",""
"2","2026","Chinook Salmon","late-fall",2025-12-03,"0:00",2025-12-03,"RT-2","12/3/2025 RT-2","AL, TEC",0,0,10,"","SB","BP",""
"3","2026","Chinook Salmon","late-fall",2025-12-03,"3:00",2025-12-03 03:00:00,"RT-3","12/3/2025 RT-3","AL, CC",0,0,10,"","SB","BP",""
"4","2026","Chinook Salmon","late-fall",2025-12-03,"6:00",2025-12-03 06:00:00,"RT-4","12/3/2025 RT-4","AL, TEC",0,0,10,"","SB","BP",""
"5","2026","Chinook Salmon","late-fall",2025-12-03,"9:07",2025-12-03 09:07:00,"RT-5","12/3/2025 RT-5","BP, KB",0,0,10,"","SB","BP",""
"6","2026","Chinook Salmon","late-fall",2025-12-03,"12:00",2025-12-03 12:00:00,"RT-6","12/3/2025 RT-6","BP, KB",0,0,10,"","SB","BP",""
"7","2026","Chinook Salmon","late-fall",2025-12-03,"14:58",2025-12-03 14:58:00,"RT-7","12/3/2025 RT-7","BP, KB",0,0,10,"","SB","BP",""
"8","2026","Chinook Salmon","late-fall",2025-12-03,"17:58",2025-12-03 17:58:00,"RT-8","12/3/2025 RT-8","BP, KB",0,0,10,"","SB","BP",""
"9","2026","Chinook Salmon","late-fall",2025-12-03,"21:00",2025-12-03 21:00:00,"RT-9","12/3/2025 RT-9","AL, BS, LS",0,0,10,"","SB","BP",""
"10","2026","Chinook Salmon","late-fall",2025-12-04,"0:00",2025-12-04,"RT-10","12/4/2025 RT-10","AL, BS, LS",0,0,9,"1 mortality in transport","SB","BP",""
"11","2026","Chinook Salmon","late-fall",2025-12-04,"3:00",2025-12-04 03:00:00,"RT-11","12/4/2025 RT-11","AL, BS, LS",0,0,10,"","SB","BP",""
"12","2026","Chinook Salmon","late-fall",2025-12-04,"6:00",2025-12-04 06:00:00,"RT-12","12/4/2025 RT-12","AL, BS, LS",0,0,10,"","SB","BP",""
"13","2026","Chinook Salmon","late-fall",2025-12-04,"9:05",2025-12-04 09:05:00,"RT-13","12/4/2025 RT-13","CC, EH",0,0,10,"CDFW Trawl net at fish release, released 100 ft downstream","SB","BP",""
