"","water_year","species","run","release_date","release_time","release_datetime","release_container_id","release_id","crew","morts","shed_tags","fish_released","comments","entered_by","qaqc_by","qaqc_comments"
"1","2025","Chinook Salmon","fall",2025-04-09,"9:01",2025-04-09 09:01:00,"RT-1","4/9/2025 RT-1","CC, BP","0","0","10","","SB","CY",""
"2","2025","Chinook Salmon","fall",2025-04-09,"11:45",2025-04-09 11:45:00,"RT-2","4/9/2025 RT-2","CC, BP","0","0","10","DFW joined release","SB","CY",""
"3","2025","Chinook Salmon","fall",2025-04-09,"14:59",2025-04-09 14:59:00,"RT-3","4/9/2025 RT-3","CC, BP","0","0","10","high boat traffic","SB","CY",""
"4","2025","Chinook Salmon","fall",2025-04-09,"17:59",2025-04-09 17:59:00,"RT-4","4/9/2025 RT-4","CC, BP","0","0","10","","SB","CY",""
"5","2025","Chinook Salmon","fall",2025-04-09,"21:03",2025-04-09 21:03:00,"RT-5","4/9/2025 RT-5","AL, RM, MC","0","0","10","","SB","CY",""
"6","2025","Chinook Salmon","fall",2025-04-10,"0:01",2025-04-10 00:01:00,"RT-6","4/10/2025 RT-6","AL, RM, MC","0","0","10","Sea lion nearby release, waited for it to move","SB","CY",""
"7","2025","Chinook Salmon","fall",2025-04-10,"3:00",2025-04-10 03:00:00,"RT-7","4/10/2025 RT-7","AL, RM, MC","0","0","10","","SB","CY",""
"8","2025","Chinook Salmon","fall",2025-04-10,NA,NA,NA,NA,NA,NA,NA,NA,"No trash can (no release)","SB","CY",""
"9","2025","Chinook Salmon","fall",2025-04-10,"9:00",2025-04-10 09:00:00,"RT-9","4/10/2025 RT-9","KB, AC","0","0","10","","SB","CY",""
"10","2025","Chinook Salmon","fall",2025-04-10,"12:02",2025-04-10 12:02:00,"RT-10","4/10/2025 RT-10","KB, AC, CW","0","0","10","","SB","CY",""
"11","2025","Chinook Salmon","fall",2025-04-10,"15:00",2025-04-10 15:00:00,"RT-11","4/10/2025 RT-11","KB, EH","0","0","10","","SB","CY",""
"12","2025","Chinook Salmon","fall",2025-04-10,"17:58",2025-04-10 17:58:00,"RT-12","4/10/2025 RT-12","KB, EH, CW","0","0","10","","SB","CY",""
"13","2025","Chinook Salmon","fall",2025-04-10,"21:02",2025-04-10 21:02:00,"RT-13","4/10/2025 RT-13","NS, AL, EC","0","0","10","","SB","CY",""
"14","2025","Chinook Salmon","fall",2025-04-11,"0:00",2025-04-11,"RT-14","4/11/2025 RT-14","NS, AL, EC","0","0","10","","SB","CY",""
"15","2025","Chinook Salmon","fall",2025-04-11,"3:00",2025-04-11 03:00:00,"RT-15","4/11/2025 RT-15","NS, AL, EC","0","0","10","","SB","CY",""
"16","2025","Chinook Salmon","fall",2025-04-11,"6:00",2025-04-11 06:00:00,"RT-16","4/11/2025 RT-16","NS, AL, EC","0","0","10","","SB","CY",""
"17","2025","Chinook Salmon","fall",2025-04-11,"8:56",2025-04-11 08:56:00,"RT-17","4/11/2025 RT-17","PH, TC","0","0","10","","SB","CY",""
"18","2025","Chinook Salmon","fall",2025-04-11,"12:00",2025-04-11 12:00:00,"RT-18","4/11/2025 RT-18","PH, KB","0","0","10","","SB","CY",""
"19","2025","Chinook Salmon","fall",2025-04-11,"14:58",2025-04-11 14:58:00,"RT-19","4/11/2025 RT-19","PH, TC","0","0","10","","SB","CY",""
"20","2025","Chinook Salmon","fall",2025-04-11,"17:54",2025-04-11 17:54:00,"RT-20","4/11/2025 RT-20","PH, KB","0","0","10","","SB","CY",""
"21","2025","Chinook Salmon","fall",2025-04-11,"21:01",2025-04-11 21:01:00,"RT-21","4/11/2025 RT-21","RM, NS, JS","0","0","10","","SB","CY",""
"22","2025","Chinook Salmon","fall",2025-04-12,"0:00",2025-04-12,"RT-22","4/12/2025 RT-22","RM, NS, JS","0","0","10","","SB","CY",""
"23","2025","Chinook Salmon","fall",2025-04-12,"3:01",2025-04-12 03:01:00,"RT-23","4/12/2025 RT-23","RM, NS, JS","0","0","8","Only 8 fish tagged","SB","CY",""
"24","2025","Chinook Salmon","fall",2025-04-12,NA,NA,NA,NA,NA,NA,NA,NA,"No trash can (no release)","SB","CY",""
"25","2025","Chinook Salmon","fall",2025-04-16,"8:59",2025-04-16 08:59:00,"RT-1 ","4/16/2025 RT-1 ","CC, KB","0","0","10","ICF tracking fish via boat","BP","SB","Changed to 10. The two ICF tags will be accounted for separately."
"26","2025","Chinook Salmon","fall",2025-04-16,"11:57",2025-04-16 11:57:00,"RT-2","4/16/2025 RT-2","CC, KB","0","0","10","","BP","SB",""
"27","2025","Chinook Salmon","fall",2025-04-16,"14:55",2025-04-16 14:55:00,"RT-3","4/16/2025 RT-3","CW, KB","0","0","10","","BP","SB",""
"28","2025","Chinook Salmon","fall",2025-04-16,"18:00",2025-04-16 18:00:00,"RT-4","4/16/2025 RT-4","CW, KB","0","0","10","","BP","SB",""
"29","2025","Chinook Salmon","fall",2025-04-16,"20:59",2025-04-16 20:59:00,"RT-5","4/16/2025 RT-5","NS, JH","0","0","10","","BP","SB",""
"30","2025","Chinook Salmon","fall",2025-04-17,"0:00",2025-04-17,"RT-6","4/17/2025 RT-6","RM, NS","0","0","10","","BP","SB",""
"31","2025","Chinook Salmon","fall",2025-04-17,"3:00",2025-04-17 03:00:00,"RT-7","4/17/2025 RT-7","NS, JH","0","0","10","","BP","SB",""
"32","2025","Chinook Salmon","fall",2025-04-17,"6:00",2025-04-17 06:00:00,"RT-8","4/17/2025 RT-8","RM, JH","0","0","10","","BP","SB",""
"33","2025","Chinook Salmon","fall",2025-04-17,"8:59",2025-04-17 08:59:00,"RT-9","4/17/2025 RT-9","CC, BP","0","0","10","","BP","SB",""
"34","2025","Chinook Salmon","fall",2025-04-17,"12:02",2025-04-17 12:02:00,"RT-10","4/17/2025 RT-10","CC, BP","0","0","10","","BP","SB",""
"35","2025","Chinook Salmon","fall",2025-04-17,"14:59",2025-04-17 14:59:00,"RT-11","4/17/2025 RT-11","BP, AT","0","0","10","","BP","SB",""
"36","2025","Chinook Salmon","fall",2025-04-17,"17:58",2025-04-17 17:58:00,"RT-12","4/17/2025 RT-12","BP, AT","0","0","10","","BP","SB",""
"37","2025","Chinook Salmon","fall",2025-04-17,"21:00",2025-04-17 21:00:00,"RT-13","4/17/2025 RT-13","JH, RM","0","0","10","","BP","SB",""
"38","2025","Chinook Salmon","fall",2025-04-18,"12:00",2025-04-18 12:00:00,"RT-14","4/18/2025 RT-14","JH, BS","0","0","10","","BP","SB",""
"39","2025","Chinook Salmon","fall",2025-04-18,"3:00",2025-04-18 03:00:00,"RT-15","4/18/2025 RT-15","JH,RM","0","0","10","","BP","SB",""
"40","2025","Chinook Salmon","fall",2025-04-18,"6:00",2025-04-18 06:00:00,"RT-16","4/18/2025 RT-16","JH, BS","0","0","10","","BP","SB",""
"41","2025","Chinook Salmon","fall",2025-04-18,"8:58",2025-04-18 08:58:00,"RT-17","4/18/2025 RT-17","KB, NS","0","0","10","","BP","SB",""
"42","2025","Chinook Salmon","fall",2025-04-18,"11:56",2025-04-18 11:56:00,"RT-18","4/18/2025 RT-18","RW, NS","0","0","10","","BP","SB",""
"43","2025","Chinook Salmon","fall",2025-04-18,"14:57",2025-04-18 14:57:00,"RT-19","4/18/2025 RT-19","NS, KB","0","0","10","","BP","SB",""
"44","2025","Chinook Salmon","fall",2025-04-18,"17:55",2025-04-18 17:55:00,"RT-20","4/18/2025 RT-20","RW, NS","0","0","10","","BP","SB",""
"45","2025","Chinook Salmon","fall",2025-04-18,"21:00",2025-04-18 21:00:00,"RT-21","4/18/2025 RT-21","CJ, AL","0","0","10","","BP","SB",""
"46","2025","Chinook Salmon","fall",2025-04-19,"0:00",2025-04-19,"RT-22","4/19/2025 RT-22","AL, RM","0","0","10","ICF tracking fish via boat","BP","SB","Changed to 10. The two ICF tags will be accounted for separately."
"47","2025","Chinook Salmon","fall",2025-04-19,"3:00",2025-04-19 03:00:00,"RT-23","4/19/2025 RT-23","AL, CJ","0","0","10","","BP","SB",""
"48","2025","Chinook Salmon","fall",2025-04-19,"6:02",2025-04-19 06:02:00,"RT-24","4/19/2025 RT-24","AL, RM","0","0","10","","BP","SB",""
"49","2025","Chinook Salmon","fall",2025-04-30,"8:58",2025-04-30 08:58:00,"RT-1","4/30/2025 RT-1","KB, MB","0","0","10","","PH","SB",""
"50","2025","Chinook Salmon","fall",2025-04-30,"11:58",2025-04-30 11:58:00,"RT-2","4/30/2025 RT-2","KB, MB","0","0","10","","PH","SB",""
"51","2025","Chinook Salmon","fall",2025-04-30,"14:57",2025-04-30 14:57:00,"RT-3","4/30/2025 RT-3","KB, MB","0","0","10","","PH","SB",""
"52","2025","Chinook Salmon","fall",2025-04-30,"17:57",2025-04-30 17:57:00,"RT-4","4/30/2025 RT-4","KB, MB","0","0","10","","PH","SB",""
"53","2025","Chinook Salmon","fall",2025-04-30,"21:00",2025-04-30 21:00:00,"RT-5","4/30/2025 RT-5","AL, NS","0","0","10","","PH","SB",""
"54","2025","Chinook Salmon","fall",2025-05-01,"0:00",2025-05-01,"RT-6","5/1/2025 RT-6","AL, RM","0","0","10","","PH","SB",""
"55","2025","Chinook Salmon","fall",2025-05-01,"3:00",2025-05-01 03:00:00,"RT-7","5/1/2025 RT-7","AL, NS","0","0","10","","PH","SB",""
"56","2025","Chinook Salmon","fall",2025-05-01,"6:00",2025-05-01 06:00:00,"RT-8","5/1/2025 RT-8","AL, RM","0","0","10","","PH","SB",""
"57","2025","Chinook Salmon","fall",2025-05-01,"8:59",2025-05-01 08:59:00,"RT-9","5/1/2025 RT-9","CC, BP","0","0","10","","PH","SB",""
"58","2025","Chinook Salmon","fall",2025-05-01,"11:58",2025-05-01 11:58:00,"RT-10","5/1/2025 RT-10","CC, BP","0","0","10","","PH","SB",""
"59","2025","Chinook Salmon","fall",2025-05-01,"14:59",2025-05-01 14:59:00,"RT-11","5/1/2025 RT-11","BP, AT","0","0","10","","PH","SB",""
"60","2025","Chinook Salmon","fall",2025-05-01,"18:00",2025-05-01 18:00:00,"RT-12","5/1/2025 RT-12","BP, AT","0","0","10","","PH","SB",""
"61","2025","Chinook Salmon","fall",2025-05-01,"21:00",2025-05-01 21:00:00,"RT-13","5/1/2025 RT-13","RM, NS","0","0","10","","PH","SB",""
"62","2025","Chinook Salmon","fall",2025-05-01,"23:56",2025-05-01 23:56:00,"RT-14","5/1/2025 RT-14","TM, NS","0","0","10","","PH","SB",""
"63","2025","Chinook Salmon","fall",2025-05-02,"2:56",2025-05-02 02:56:00,"RT-15","5/2/2025 RT-15","RM, NS","0","0","10","","PH","SB",""
"64","2025","Chinook Salmon","fall",2025-05-02,"5:56",2025-05-02 05:56:00,"RT-16","5/2/2025 RT-16","NS, TM","0","0","10","","PH","SB",""
"65","2025","Chinook Salmon","fall",2025-05-02,"9:00",2025-05-02 09:00:00,"RT-17","5/2/2025 RT-17","BP, RW","0","0","10","","PH","SB",""
"66","2025","Chinook Salmon","fall",2025-05-02,"12:00",2025-05-02 12:00:00,"RT-18","5/2/2025 RT-18","BP, CW","0","0","10","","SB","BP",""
"67","2025","Chinook Salmon","fall",2025-05-02,"14:58",2025-05-02 14:58:00,"RT-19","5/2/2025 RT-19","BP, RW","0","0","10","","SB","BP",""
"68","2025","Chinook Salmon","fall",2025-05-02,"18:00",2025-05-02 18:00:00,"RT-20","5/2/2025 RT-20","BP,CW","0","0","10","","SB","BP",""
"69","2025","Chinook Salmon","fall",2025-05-02,"21:00",2025-05-02 21:00:00,"RT-21","5/2/2025 RT-21","AL, CJ","0","0","10","","SB","BP",""
"70","2025","Chinook Salmon","fall",2025-05-03,"0:00",2025-05-03,"RT-22","5/3/2025 RT-22","AL, BS","0","0","10","","SB","BP",""
"71","2025","Chinook Salmon","fall",2025-05-03,"3:00",2025-05-03 03:00:00,"RT-23","5/3/2025 RT-23","AL, CJ","0","0","10","","SB","BP",""
"72","2025","Chinook Salmon","fall",2025-05-03,"6:00",2025-05-03 06:00:00,"RT-24","5/3/2025 RT-24","AL, BS","0","0","10","","SB","BP",""
